,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,OutdoorFurniture,Furniture,ParkingSpots,NetArea,EnergyClass,TotalRooms,TotalFloors,HouseMaterial,HouseType,LandArea,Region,District,Neighborhood
1245,149000,800,missing,1989,missing,missing,0,0,Balkon,Vrt/dvorišče,Delno opremljeno,0,missing,missing,0,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,Savinjska, Šmarje pri Jelšah, Šmarje pri Jelšah
1246,166500,180,missing,1998,missing,missing,0,2015,Balkon,missing,missing,0,missing,missing,1,Dvonadstropna,missing,Samostojna,303,Podravska, Slovenska Bistrica, Pragersko
1247,69000,0,missing,2006,missing,missing,0,0,missing,missing,missing,0,"48,00 m²",missing,0,missing,missing,missing,0,Podravska, Poljčane, Poljčane
1248,189000,179,missing,1967,missing,missing,0,0,missing,missing,missing,0,missing,G (210+ kWh/m²a),0,Dvonadstropna,"Zidana hiša (beton, opeka)",Dvojček,0,Savinjska, Žalec, Migojnice
1249,250000,111,missing,2022,missing,missing,0,0,"Terasa, Atrij",Vrt/dvorišče,Neopremljeno,2,missing,Ni možno izdati,5,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,360,Podravska, Rače, Podova
1250,125000,70,missing,1988,missing,missing,0,2020,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Popolnoma opremljeno,0,"118,00 m²",missing,2,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,495,Savinjska, Celje, Slatina v Rožni Dolini
1251,290000,317,missing,2006,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,Samostojna,0,Jugovzhodna Slovenija, Sodražica, Sodražica
1252,455000,89,missing,1927,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,517,Osrednjeslovenska, Ljubljana Vič Rudnik, Brdo
1253,345000,0,missing,1959,missing,missing,0,2021,"Balkon, Terasa, Loža",Vrt/dvorišče,missing,3,"187,00 m²",E (105 - 150 kWh/m²a),4,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,0,Gorenjska, Kranj, Primskovo
1254,88000,60,missing,1980,missing,missing,0,2021,"Balkon, Terasa",missing,Delno opremljeno,0,"120,00 m²",Merjena EI,2,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,800,Savinjska, Rogaška Slatina, Tržišče
