,Price,SurfaceArea,TotalRooms,YearBuilt,TotalFloors,HouseMaterial,HouseType,LandArea,YearRenovated,Furniture,ParkingSpots,BalconyTerraceAtrium,OutdoorFurniture,EnergyClass,Region,District,Neighborhood
671,170000,150,6,1998,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2001,Delno opremljeno,5,Balkon,"Vrt/dvorišče, Žar",B2 (25 - 35 kWh/m²a),Osrednjeslovenska, Ivančna Gorica, Temenica
672,198000,200,,2013,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,brez pripadajočega parkirišča,,,,Podravska, Oplotnica, Oplotnica
673,95000,97,3,1920,Pritlična,,Samostojna,0,2018,,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",EI v izdelavi,Podravska, Ormož, Ormož
674,297000,115,3,1900,,"Zidana hiša (beton, opeka)",,0,2019,Popolnoma opremljeno,,,,,Obalno-kraška, Piran, Padna
675,182000,122,,2022,,,Samostojna,374,0,,,,,Ni možno izdati,Podravska, Ruše, Bezena
676,165000,139,10+,1966,,,Ostalo,855,0,,,,,G (210+ kWh/m²a),Goriška, Nova Gorica, Branik
677,224800,226,4,1973,,"Zidana hiša (beton, opeka)",Samostojna,299,1997,Popolnoma opremljeno,,"Balkon, Terasa, Atrij",,,Podravska, Maribor, Betnava
679,143000,142,,1982,,"Zidana hiša (beton, opeka)",Samostojna,0,2015,,brez pripadajočega parkirišča,,,,Podravska, Slovenska Bistrica, Slovenska Bistrica
680,495000,125,,1939,Dvonadstropna,,Samostojna,0,1992,,,Balkon,,F (150 - 210 kWh/m²a),Osrednjeslovenska, Ljubljana, Medno
681,194000,120,,2022,,,Samostojna,510,0,,,,,Ni možno izdati,Podravska, Kidričevo, Cirkovce
682,490000,0,8,1975,Večnadstropna,,Samostojna,0,0,,4,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Gorenjska, Bled, Bled
683,275000,0,5,1974,Enonadstropna,,Samostojna,0,0,,4,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Maribor, Tezno
684,385000,205,5,1965,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,513,2019,Delno opremljeno,2,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Žar",D (60 - 105 kWh/m²a),Podravska, Maribor, Tabor
685,325000,240,5,2006,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,395,2010,Popolnoma opremljeno,2,"Balkon, Terasa, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",B2 (25 - 35 kWh/m²a),Podravska, Maribor, Limbuš
686,195000,150,,1892,,,Vrstna,77,1950,,brez pripadajočega parkirišča,,,EI ni potrebna (334. člen EZ-1),Gorenjska, Bohinj, Bohinjska Bistrica
687,240000,187,,0,,,Samostojna,169,0,,brez pripadajočega parkirišča,,,EI ni potrebna (334. člen EZ-1),Gorenjska, Radovljica, Radovljica
688,68000,80,3,1767,,,Samostojna,161,0,,2,,,Ni možno izdati,Gorenjska, Žirovnica, Zabreznica
689,189000,100,,1987,,,Samostojna,0,0,Neopremljeno,brez pripadajočega parkirišča,,,E (105 - 150 kWh/m²a),Gorenjska, Jesenice, Jesenice
690,355000,241,,1900,Pritlična,"Zidana hiša (beton, opeka)",Dvostanovanjska,683,2020,,,,Vrt/dvorišče,E (105 - 150 kWh/m²a),Podravska, Maribor, Radvanje
692,290000,250,6,1939,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,426,0,,,"Balkon, Zaprt balkon, Terasa",Vrt/dvorišče,F (150 - 210 kWh/m²a),Savinjska, Celje, Center
693,239000,182,6,2008,Enonadstropna,,Samostojna,546,0,Delno opremljeno,,Balkon,Lopa za shranjevanje,D (60 - 105 kWh/m²a),Podravska, Hoče, Rogoza
694,295000,266,5,2012,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Popolnoma opremljeno,,"Balkon, Zaprt balkon, Atrij",Vrt/dvorišče,D (60 - 105 kWh/m²a),Pomurska, Razkrižje, Gibina
695,158500,226,,0,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,EI ni potrebna (334. člen EZ-1),Pomurska, Puconci, Vaneča
696,155000,112,10+,2007,,,Ostalo,131,0,,,,,D (60 - 105 kWh/m²a),Goriška, Bovec, Žaga
697,89000,72,,1961,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,376,2019,,,,,E (105 - 150 kWh/m²a),Podravska, Duplek, Ciglence
698,129900,232,1,0,Pritlična,,Samostojna,0,1985,,,"Balkon, Terasa",,EI v izdelavi,Podravska, Cirkulane, Cirkulane
700,402500,182,,2021,Enonadstropna,,Vrstna,263,0,,3,"Balkon, Atrij",,,Goriška, Nova Gorica, Solkan
701,299000,182,,2021,Dvonadstropna,,Vrstna,269,0,,3,"Balkon, Atrij",,,Goriška, Nova Gorica, Solkan
702,120000,193,,1947,,,Samostojna,418,0,,,,,,Savinjska, Rogaška Slatina, Rogaška Slatina
703,280000,135,,2022,,"Zidana hiša (beton, opeka)",,480,0,,,,,,Podravska, Ptuj, Ptuj
705,240000,177,,1900,,,,0,0,,,,,,Obalno-kraška, Izola, Izola
706,147000,176,,1938,,"Zidana hiša (beton, opeka)",Samostojna,576,0,,,,,,Savinjska, Celje, Celje
708,319000,80,3,1900,,"Zidana hiša (beton, opeka)",,0,2017,Popolnoma opremljeno,,,,,Obalno-kraška, Piran, Piran
709,98200,0,5,1810,,,Samostojna,0,0,,,,Vrt/dvorišče,,Savinjska, Nazarje, Nazarje
710,387700,0,5,2008,,,Samostojna,0,0,,,,Vrt/dvorišče,,Savinjska, Braslovče, Braslovče
713,224900,95,5,2002,,"Zidana hiša (beton, opeka)",Samostojna,603,0,,,"Balkon, Terasa",Vrt/dvorišče,D (60 - 105 kWh/m²a),Pomurska, Moravske Toplice, Moravske Toplice
714,215000,95,4,2006,,,Dvojček,152,2019,,2,,,D (60 - 105 kWh/m²a),Podravska, Maribor, Tezno
715,237000,24,,1990,,"Zidana hiša (beton, opeka)",Samostojna,496,0,,,,,,Obalno-kraška, Izola, Izola
716,285000,272,5,1985,,"Zidana hiša (beton, opeka)",Samostojna,0,2010,Popolnoma opremljeno,3,,,,Zasavska, Trbovlje, Prapreče - Del
717,45000,69,,1852,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Savinjska, Radeče, Zavrate
718,474092,0,4,2021,,Kamnita hiša,,0,0,,,,Vrt/dvorišče,C (35 - 60 kWh/m²a),Obalno-kraška, Sežana, Sežana
719,494000,195,3,2022,Dvonadstropna,,Dvojček,550,0,,,"Terasa, Atrij",Vrt/dvorišče,,Osrednjeslovenska, Ljubljana Vič Rudnik, Rudnik
722,79900,120,5,1965,,,Samostojna,0,0,,,Terasa,Vrt/dvorišče,EI v izdelavi,Podravska, Ptuj, Ptuj
725,310000,137,6,2003,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,0,0,Delno opremljeno,,Balkon,,EI v izdelavi,Osrednjeslovenska, Kamnik, Soteska
726,275000,150,,1970,,"Zidana hiša (beton, opeka)",Samostojna,710,2010,,,,,,Savinjska, Celje, Celje
727,219500,90,,1900,,"Zidana hiša (beton, opeka)",Dvojček,62,2007,,,,,,Obalno-kraška, Koper, Sv. Anton
729,294000,339,,1990,,,Samostojna,0,0,,,,,E (105 - 150 kWh/m²a),Savinjska, Šmarje pri Jelšah, Šmarje pri Jelšah
730,159800,110,6,1990,,,Samostojna,0,2020,Popolnoma opremljeno,2,"Balkon, Zaprt balkon, Terasa",Vrt/dvorišče,,Podravska, Makole, Dežno pri Makolah
731,285000,54,,1994,Enonadstropna,,Vrstna,88,1994,Delno opremljeno,,,Vrt/dvorišče,C (35 - 60 kWh/m²a),Osrednjeslovenska, Ljubljana Bežigrad, Tomačevo
732,179000,0,7,1938,,,Samostojna,0,0,,,,Vrt/dvorišče,,Podravska, Maribor, Pobrežje
733,65000,0,4,1988,Dvonadstropna,,Samostojna,0,0,,,,,,Podravska, Cirkulane, Cirkulane
734,220000,146,5,2010,,"Zidana hiša (beton, opeka)",Kmetija,0,0,Popolnoma opremljeno,2,,,,Podravska, Ormož, Sodinci
735,62000,116,,1820,,"Zidana hiša (beton, opeka)",Samostojna,0,1966,,,,,,Goriška, Tolmin, Most na Soči
736,359900,121,,2022,Dvonadstropna,,Dvojček,340,0,,,Terasa,Vrt/dvorišče,,Osrednjeslovenska, Vrhnika, Velika Ligojna
737,65000,84,,1963,,,Samostojna,0,2019,,,,,,Podravska, Makole, Stari Grad
739,323000,235,10+,1939,Enonadstropna,"Zidana hiša (beton, opeka)",Ostalo,716,2010,Popolnoma opremljeno,5,"Balkon, Zaprt balkon, Terasa, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",D (60 - 105 kWh/m²a),Podravska, Maribor, Tabor
740,145000,221,,1972,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,1,,,,Savinjska, Šmarje pri Jelšah, Šmarje pri Jelšah
743,170000,0,4,1904,Večnadstropna,,Samostojna,0,0,,2,,Vrt/dvorišče,C (35 - 60 kWh/m²a),Goriška, Idrija, Idrija
744,360000,0,7,2007,,,Samostojna,0,0,,,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Primorsko-notranjska, Cerknica, Cerknica
746,485000,0,5,1860,Dvonadstropna,,Samostojna,0,0,,,,"Vrtna uta, Lopa za shranjevanje, Vrt/dvorišče",EI ni potrebna (334. člen EZ-1),Osrednjeslovenska, Ivančna Gorica, Ivančna Gorica
747,490000,0,6,1975,,,Samostojna,0,0,,,,Vrt/dvorišče,F (150 - 210 kWh/m²a),Osrednjeslovenska, Ljubljana Moste Polje, Dobrunje
749,450000,0,6,1962,,,Samostojna,0,0,,,,,,Goriška, Nova Gorica, Rožna Dolina
751,342000,331,,1990,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,919,0,Delno opremljeno,,"Terasa, Atrij",Vrt/dvorišče,C (35 - 60 kWh/m²a),Podravska, Maribor, Pobrežje
752,240000,204,10+,2011,,,Ostalo,329,0,,,,,C (35 - 60 kWh/m²a),Goriška, Miren, Lokvica
753,243000,136,,1895,,,Samostojna,530,2017,,,,,,Osrednjeslovenska, Domžale, Radomlje
754,279000,221,,2008,Pritlična,,Samostojna,909,0,,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",,Podravska, Ptuj, Ptuj
755,155000,0,4,2005,Dvonadstropna,,Samostojna,0,0,,3,,,G (210+ kWh/m²a),Obalno-kraška, Koper, Peraji
756,34000,0,3,1890,,,,0,0,,,,Vrt/dvorišče,F (150 - 210 kWh/m²a),Podravska, Videm pri Ptuju, Videm pri Ptuju
757,350000,180,5,1970,Dvonadstropna,"Zidana hiša (beton, opeka)",Kmetija,2,0,,,,,G (210+ kWh/m²a),Savinjska, Žalec, Pongrac
758,417000,0,8,1988,,,Samostojna,0,0,,,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Gorenjska, Jesenice, Jesenice
761,490000,0,5,2013,,Lesena hiša,Samostojna,0,0,,,,Vrt/dvorišče,C (35 - 60 kWh/m²a),Savinjska, Žalec, Žalec
762,37600,35,,1921,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,2,,,,Podravska, Cerkvenjak, Čagona
763,299000,281,6,2010,,,,518,0,,brez pripadajočega parkirišča,Balkon,,,Savinjska, Slovenske Konjice, Slovenske Konjice
765,349000,314,6,2001,,,Samostojna,652,0,Delno opremljeno,4,"Balkon, Terasa",Vrt/dvorišče,EI v izdelavi,Koroška, Mislinja, Šentilj pod Turjakom
766,234000,479,,1953,,,Samostojna,0,1999,Delno opremljeno,brez pripadajočega parkirišča,Balkon,Vrt/dvorišče,EI v izdelavi,Koroška, Slovenj Gradec, Tomaška vas
767,155000,0,4,1980,Dvonadstropna,,Samostojna,0,0,,3,,,,Podravska, Hajdina, Zgornja Hajdina
768,119900,133,4,1972,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2004,Popolnoma opremljeno,,"Balkon, Terasa",,,Savinjska, Slovenske Konjice, Loče
769,81000,138,4,1984,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2020,Nedokončana gradnja,,,"Lopa za shranjevanje, Vrtna uta",D (60 - 105 kWh/m²a),Koroška, Prevalje, Leše
770,175000,200,5,2012,,,Samostojna,0,0,,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",C (35 - 60 kWh/m²a),Podravska, Juršinci, Juršinci
771,179000,239,3,1973,,"Zidana hiša (beton, opeka)",Samostojna,639,2021,,,Terasa,,F (150 - 210 kWh/m²a),Podravska, Maribor, Ostalo
772,198000,60,,1986,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Obalno-kraška, Koper, Bertoki
773,164000,162,,2022,,"Zidana hiša (beton, opeka)",Dvojček,200,0,Neopremljeno,,,,,Savinjska, Celje, Trnovlje pri Celju
774,287000,0,9,1989,Dvonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Maribor, Tezno
776,65000,0,3,1980,Enonadstropna,,,0,0,,,,,EI ni potrebna (334. člen EZ-1),Podravska, Cirkulane, Cirkulane
777,166000,175,,2022,,"Zidana hiša (beton, opeka)",Samostojna,525,0,Neopremljeno,,,,,Savinjska, Braslovče, Kamenče
778,399000,191,5,1826,,"Zidana hiša (beton, opeka)",Kmetija,1,2003,,,,,,Gorenjska, Radovljica, Kropa
779,139000,0,5,1962,,,Samostojna,0,0,,,,"Vrtna uta, Lopa za shranjevanje, Vrt/dvorišče",G (210+ kWh/m²a),Pomurska, Ljutomer, Ljutomer
780,148000,0,6,1982,Enonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,,Koroška, Mislinja, Mislinja
781,180000,0,4,2003,Enonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,,Obalno-kraška, Koper, Podpeč
782,165000,131,6,1976,,,Samostojna,753,2004,Neopremljeno,brez pripadajočega parkirišča,"Balkon, Terasa",Vrt/dvorišče,E (105 - 150 kWh/m²a),Podravska, Maribor, Bresternica
783,85000,350,3,1958,,,Samostojna,0,0,Delno opremljeno,brez pripadajočega parkirišča,,,F (150 - 210 kWh/m²a),Jugovzhodna Slovenija, Kočevje, Stari Log
784,165000,120,3,1956,Visokopritlična,"Zidana hiša (beton, opeka)",Dvojček,300,2020,Nedokončana gradnja,,Balkon,,Ni možno izdati,Osrednjeslovenska, Kamnik, Godič
785,229000,168,,1988,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,224,0,Delno opremljeno,,Terasa,Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Maribor, Tezno
786,115000,170,10+,1850,,,Vrstna,0,0,,,,,G (210+ kWh/m²a),Obalno-kraška, Komen, Lisjaki
787,36700,0,2,1750,Dvonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,,Savinjska, Rogatec, Rogatec
789,473000,0,5,1981,Večnadstropna,,Samostojna,0,0,,2,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Obalno-kraška, Koper, Koper
790,135000,0,4,1968,,,Samostojna,0,0,,,,Vrt/dvorišče,,Koroška, Dravograd, Dravograd
791,136000,0,6,1780,Enonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,EI ni potrebna (334. člen EZ-1),Primorsko-notranjska, Ilirska Bistrica, Ilirska Bistrica
793,239000,300,5,1990,,"Zidana hiša (beton, opeka)",Samostojna,703,2008,,3,,,,Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah
794,229700,0,6,2012,,,Samostojna,0,0,,,,Vrt/dvorišče,,Savinjska, Podčetrtek, Pristava pri Mestinju
796,298000,114,,2022,,,Dvojček,280,0,,,,,,Gorenjska, Kranj, Hrastje
797,288000,114,,2022,,,Dvojček,260,0,,,,,,Gorenjska, Kranj, Hrastje
798,315000,135,,2022,,,Samostojna,400,0,,,,,,Gorenjska, Kranj, Hrastje
799,130000,74,3,1892,Pritlična,"Zidana hiša (beton, opeka)",Vrstna,0,2006,Popolnoma opremljeno,1,,"Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Maribor okolica, Pekre
800,185000,81,5,2010,,"Zidana hiša (beton, opeka)",,56,0,,,,,,Obalno-kraška, Koper, Cerej
801,380000,320,,2006,,,,0,0,,,,,,Savinjska, Braslovče, Parižlje
802,39700,0,2,1967,,,Samostojna,0,0,,,,,,Savinjska, Šentjur, Loka pri Žusmu
803,339000,0,7,1995,,,Samostojna,0,0,,,,,,Goriška, Ajdovščina, Ajdovščina
804,159500,53,,1997,,,Samostojna,0,0,Neopremljeno,brez pripadajočega parkirišča,Terasa,,,Podravska, Kidričevo, Lovrenc na Dravskem polju
805,119200,53,,1997,,,Samostojna,0,0,Neopremljeno,brez pripadajočega parkirišča,Terasa,,,Podravska, Kidričevo, Lovrenc na Dravskem polju
807,35000,99,,1957,,"Zidana hiša (beton, opeka)",Samostojna,0,1990,,brez pripadajočega parkirišča,,,,Podravska, Poljčane, Ljubično
808,229000,211,8,2010,,,Samostojna,0,0,Popolnoma opremljeno,brez pripadajočega parkirišča,"Balkon, Terasa",,,Savinjska, Rogaška Slatina, Zgornje Negonje
809,340000,120,2,1955,,"Zidana hiša (beton, opeka)",Kmetija,1,0,,,,,,Podravska, Slovenska Bistrica, Črešnjevec
811,380000,220,5,1957,,"Zidana hiša (beton, opeka)",Samostojna,829,2016,,,,,,Osrednjeslovenska, Domžale, Škrjančevo
812,171000,154,,1979,,,Samostojna,0,2012,,,,,,Savinjska, Laško, Lahomno
814,327000,290,6,2001,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,619,0,Delno opremljeno,,Balkon,,D (60 - 105 kWh/m²a),Obalno-kraška, Kozina, Bač pri Materiji
815,129000,266,,1965,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,G (250 do 1000 kWh/m²a) - HR,Savinjska, Slovenske Konjice, Loče
816,36000,0,1,1990,,,Samostojna,0,0,,,,,EI ni potrebna (334. člen EZ-1),Podravska, Juršinci, Juršinci
817,76000,0,2,1953,,,Samostojna,0,0,,,,,EI ni potrebna (334. člen EZ-1),Podravska, Videm pri Ptuju, Videm pri Ptuju
818,205000,0,4,2009,,,Samostojna,0,0,,,,Vrt/dvorišče,C (35 - 60 kWh/m²a),Savinjska, Slovenske Konjice, Slovenske Konjice
819,110000,0,1,1850,,,Samostojna,0,0,,,,,EI ni potrebna (334. člen EZ-1),Obalno-kraška, Koper, Koper
821,298000,130,3,2022,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,437,0,Nedokončana gradnja,,"Balkon, Terasa",,Merjena EI,Osrednjeslovenska, Mengeš, Dobeno
822,410000,159,4,2021,,,Dvojček,426,0,Neopremljeno,brez pripadajočega parkirišča,Terasa,,EI v izdelavi,Osrednjeslovenska, Velike Lašče, Mali Ločnik
823,180000,127,,1920,,"Zidana hiša (beton, opeka)",Samostojna,301,0,,,,,,Osrednjeslovenska, Medvode, Medvode
824,139000,0,5,1850,,,Samostojna,0,0,,,,Vrt/dvorišče,,Obalno-kraška, Sežana, Dutovlje
825,348000,126,,1926,Enonadstropna,,Samostojna,610,2013,,,Terasa,Vrt/dvorišče,B2 (25 - 35 kWh/m²a),Osrednjeslovenska, Brezovica pri Ljubljani, Žabnica
826,416000,182,,2021,Enonadstropna,,Vrstna,263,0,,3,Atrij,,,Goriška, Nova Gorica, Solkan
827,332000,102,,1979,Dvonadstropna,,Samostojna,618,2000,,,"Balkon, Terasa",Vrt/dvorišče,C (35 - 60 kWh/m²a),Osrednjeslovenska, Brezovica pri Ljubljani, Rakitna
831,270000,201,8,1979,,,Samostojna,557,2004,,brez pripadajočega parkirišča,"Balkon, Terasa",Vrt/dvorišče,C (35 - 60 kWh/m²a),Podravska, Maribor, Radvanje
832,285000,140,4,2017,Enonadstropna,,Samostojna,999,0,Delno opremljeno,,Terasa,,,Savinjska, Braslovče, Parižlje
833,139000,166,,1920,Visokopritlična,,Samostojna,0,1976,,,,,,Goriška, Bovec, Žaga
834,399000,111,,2021,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,501,0,,,,,,Osrednjeslovenska, Medvode, Zbilje
836,158800,475,,1880,Večnadstropna,,Ostalo,593,0,,7+,,,,Primorsko-notranjska, Cerknica, Rakek
837,390000,199,,1990,Večnadstropna,,Dvojček,0,2008,Popolnoma opremljeno,2,"Balkon, Atrij","Vrt/dvorišče, Žar",,Goriška, Bovec, Plužna
839,87000,104,4,1975,,"Zidana hiša (beton, opeka)",Samostojna,0,2020,Delno opremljeno,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje",F (150 - 210 kWh/m²a),Pomurska, Rogašovci, Večeslavci
841,189000,230,,1970,,,Ostalo,994,0,,,,,G (210+ kWh/m²a),Podravska, Maribor okolica, Kamnica
842,197000,0,5,1810,,,Samostojna,0,0,,,,,,Obalno-kraška, Sežana, Sežana
843,140000,104,,1965,Enonadstropna,,Samostojna,0,0,,,,,E (105 - 150 kWh/m²a),Podravska, Lenart v Slovenskih goricah, Voličina
844,389000,124,,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,250,0,,,,,Ni možno izdati,Osrednjeslovenska, Ljubljana Moste Polje, Dobrunje
845,39980,0,2,1985,,,,0,0,,,,,D (60 - 105 kWh/m²a),Posavska, Sevnica, Tržišče
846,399000,350,5,2005,,"Zidana hiša (beton, opeka)",Samostojna,537,2010,Popolnoma opremljeno,1,,,,Podravska, Maribor okolica, Počehova
847,119000,410,10+,1978,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,820,1998,,,"Balkon, Terasa",,,Pomurska, Beltinci, Beltinci
848,329000,380,5,1980,,"Zidana hiša (beton, opeka)",Samostojna,799,1998,Delno opremljeno,brez pripadajočega parkirišča,,,,Podravska, Maribor okolica, Dogoše
849,179000,94,,1967,,,Samostojna,1,0,Delno opremljeno,brez pripadajočega parkirišča,Balkon,,,Podravska, Videm pri Ptuju, Spodnji Leskovec
851,450000,700,,1900,,,Samostojna,314,0,,,,,,Podravska, Maribor, Center
852,150000,100,,1993,,,Samostojna,560,0,Delno opremljeno,6,,Vrt/dvorišče,F (150 - 210 kWh/m²a),Podravska, Starše, Zlatoličje
853,176000,97,,1972,,,Samostojna,0,2005,Delno opremljeno,brez pripadajočega parkirišča,Atrij,Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Slovenska Bistrica, Zgornja Polskava
854,124000,95,4,1948,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,402,0,,,,"Vrt/dvorišče, Lopa za shranjevanje",EI v izdelavi,Podravska, Maribor, Limbuš
855,65000,64,,1975,,,Samostojna,546,1998,,brez pripadajočega parkirišča,,,G (210+ kWh/m²a),Podravska, Cirkulane, Gradišča
856,95000,0,5,1971,,,Samostojna,0,0,,,,,E (105 - 150 kWh/m²a),Podravska, Cirkulane, Cirkulane
859,150000,207,,1875,Pritlična,,Samostojna,0,2019,,,,,G (210+ kWh/m²a),Pomurska, Apače, Drobtinci
860,54000,61,,1936,,"Zidana hiša (beton, opeka)",Samostojna,0,2000,Popolnoma opremljeno,brez pripadajočega parkirišča,,,,Savinjska, Šmarje pri Jelšah, Babna Gora
861,228000,0,4,2018,Dvonadstropna,,,0,0,,3,,Vrt/dvorišče,C (35 - 60 kWh/m²a),Podravska, Maribor, Tezno
864,350000,190,5,1969,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,433,2007,Delno opremljeno,,Balkon,,,Osrednjeslovenska, Ljubljana Moste Polje, Zalog
869,250000,0,6,1991,,,Samostojna,0,0,,,,Vrt/dvorišče,,Koroška, Dravograd, Dravograd
870,80000,93,4,1800,,"Zidana hiša (beton, opeka)",Samostojna,309,1960,,,,,,Goriška, Ajdovščina, Šmarje
871,155000,110,,2022,,,Dvojček,371,0,,brez pripadajočega parkirišča,,,Ni možno izdati,Savinjska, Prebold, Sv. Lovrenc
872,175000,107,,1964,,"Zidana hiša (beton, opeka)",Samostojna,0,2006,,brez pripadajočega parkirišča,,,,Podravska, Duplek, Zgornja Korena
873,190000,0,7,2021,,,Samostojna,0,0,,,,,,Podravska, Dornava, Dornava
874,145000,214,2,2000,,,Samostojna,0,2015,Neopremljeno,4,"Balkon, Terasa",Vrt/dvorišče,C (35 - 60 kWh/m²a),Podravska, Cirkulane, Meje
875,55000,93,,1997,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Podlehnik, Sedlašek
876,150000,0,8,1920,,,Samostojna,0,0,,,,,D (60 - 105 kWh/m²a),Goriška, Nova Gorica, Nova Gorica
877,378000,143,,1939,,,,156,0,,,,,,Obalno-kraška, Izola, Izola
878,69000,94,2,1986,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,953,0,Delno opremljeno,,"Balkon, Terasa",Vrt/dvorišče,G (210+ kWh/m²a),Pomurska, Ljutomer, Drakovci
882,275000,166,,2022,,"Zidana hiša (beton, opeka)",,0,0,,,,,,Podravska, Ptuj, Ptuj
883,275000,161,,2022,,"Zidana hiša (beton, opeka)",,0,0,,,,,,Podravska, Ptuj, Ptuj
884,275000,161,,2022,,"Zidana hiša (beton, opeka)",,0,0,,,,,,Podravska, Ptuj, Ptuj
885,430000,375,6,2005,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,536,2015,Popolnoma opremljeno,,Balkon,,C (35 - 60 kWh/m²a),Podravska, Maribor okolica, Počehova
886,400000,183,4,1977,,"Zidana hiša (beton, opeka)",Samostojna,400,2007,,,,,,Podravska, Maribor, Radvanje
887,199900,263,,1962,,,Samostojna,0,0,Potrebno obnove,,,,EI ni potrebna (334. člen EZ-1),Pomurska, Gornja Radgona, Lomanoše
888,299000,0,6,2000,,,Samostojna,0,0,,,,,,Gorenjska, Radovljica, Brda
889,215000,0,6,1924,Dvonadstropna,,Samostojna,0,0,,,,,,Obalno-kraška, Koper, Ankaran
890,290000,129,,2022,,,Dvojček,0,0,,brez pripadajočega parkirišča,,,,Podravska, Maribor okolica, Kamnica
892,169000,0,5,1978,Dvonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,,Podravska, Ptuj, Ptuj
893,49000,0,2,1930,,,Samostojna,0,0,,,,,EI ni potrebna (334. člen EZ-1),Primorsko-notranjska, Ilirska Bistrica, Ilirska Bistrica
894,145000,142,,1900,,"Zidana hiša (beton, opeka)",Samostojna,720,1990,,,,,,Obalno-kraška, Koper, Pregara
895,200000,80,10+,1927,,,Ostalo,0,0,,,,,G (210+ kWh/m²a),Goriška, Brda, Vedrijan
897,175000,120,4,1965,,,Samostojna,0,0,,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",EI v izdelavi,Podravska, Ptuj, Ptuj
898,320000,259,,1987,,"Zidana hiša (beton, opeka)",Samostojna,582,0,,,,,,Obalno-kraška, Koper, Sv. Anton
899,87000,110,,1911,,"Zidana hiša (beton, opeka)",Samostojna,0,1997,,,,,,Primorsko-notranjska, Ilirska Bistrica, Dolnja Bitnja
901,115000,200,7,2004,,,Samostojna,0,0,,,,,Ni možno izdati,Osrednjeslovenska, Šmartno pri Litiji, Sevno
902,125000,128,,1973,,,Samostojna,0,0,,,,,,Osrednjeslovenska, Medvode, Trnovec
904,270000,93,,1908,,,Vrstna,0,0,,,,,,Obalno-kraška, Koper, Krkavče
905,390000,168,,2014,,"Zidana hiša (beton, opeka)",Dvostanovanjska,340,0,,,,,,Osrednjeslovenska, Ivančna Gorica, Višnja Gora
906,195000,159,6,2010,,,Samostojna,150,0,,brez pripadajočega parkirišča,Balkon,,EI v izdelavi,Savinjska, Slovenske Konjice, Slovenske Konjice
