,Cena,Približno,Neto cena,DDV,Bivalna površina,Vrsta stanovanja,Leto izgradnje,Vrsta ponudbe,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Leto zadnje prenove,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Opremljenost in stanje,Število parkirnih mest,Možnost menjave,Neto površina,Energetski razred,Interna številka oglasa,type,Število sob,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Površina parcele
1821,65.000 €,,,,,,1980.0,Prodam,"Podravska, Cirkulane, Cirkulane",,,,,,,Skupna cena,10.05.2022. ob 02:29,do prodaje,3678 -krat,https://www.bolha.com/nepremicnine/hisa-ali-bivalni-vikend-v-naravi-oglas-9409081,9409081,,,,,EI ni potrebna (334. člen EZ-1),490151032-406,house,3,Enonadstropna,,,
1822,166.000 €,,,,"175,00 m²",,2022.0,Prodam,"Savinjska, Braslovče, Kamenče",,,,,,,Skupna cena,07.05.2022. ob 09:10,do prodaje,1657 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-savinjska-braslovce-kamence-oglas-9395636,9395636,Neopremljeno,,,"175,00 m²",,PH00842MN,house,,,"Zidana hiša (beton, opeka)",Samostojna,"525,00 m²"
1823,399.000 €,,,,"191,00 m²",,1826.0,Prodam,"Gorenjska, Radovljica, Kropa",,,,2003.0,,,Skupna cena,07.05.2022. ob 00:21,do prodaje,1790 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-kmetija-gorenjska-radovljica-kropa-oglas-9394150,9394150,,,,"191,00 m²",,PH22901266859144GK,house,5,,"Zidana hiša (beton, opeka)",Kmetija,"54.132,00 m²"
1824,139.000 €,,,,,,1962.0,Prodam,"Pomurska, Ljutomer, Ljutomer",,,,,,"Vrtna uta, Lopa za shranjevanje, Vrt/dvorišče",Skupna cena,07.05.2022. ob 00:15,do prodaje,1398 -krat,https://www.bolha.com/nepremicnine/druzinska-hisa-preso-v-zaledju-ljutomera-oglas-9394123,9394123,,,,,G (210+ kWh/m²a),490321064-17,house,5,,,Samostojna,
1825,148.000 €,,,,,,1982.0,Prodam,"Koroška, Mislinja, Mislinja",,,,,,Vrt/dvorišče,Skupna cena,07.05.2022. ob 00:15,do prodaje,2623 -krat,https://www.bolha.com/nepremicnine/prijazna-hisa-v-mislinji-oglas-9394122,9394122,,,,,,490321049-144,house,6,Enonadstropna,,Samostojna,
1826,180.000 €,,,,,,2003.0,Prodam,"Obalno-kraška, Koper, Podpeč",,,,,,Vrt/dvorišče,Skupna cena,07.05.2022. ob 00:12,do prodaje,1617 -krat,https://www.bolha.com/nepremicnine/hisa-pod-kraskim-robom-oglas-9394114,9394114,,,,,,490111018-61,house,4,Enonadstropna,,Samostojna,
1827,165.000 €,,,,"130,80 m²",,1976.0,Prodam,"Podravska, Maribor, Bresternica",,,,2004.0,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,06.05.2022. ob 15:11,do prodaje,2461 -krat,https://www.bolha.com/nepremicnine/maribor-bresternica-hisa-samostojna-prodaja-oglas-9392469,9392469,Neopremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"130,80 m²",E (105 - 150 kWh/m²a),100108-564,house,6,,,Samostojna,"753,00 m²"
1828,85.000 €,,,,,,1958.0,Prodam,"Jugovzhodna Slovenija, Kočevje, Stari Log",,,,,,,Skupna cena,06.05.2022. ob 00:19,do prodaje,1736 -krat,https://www.bolha.com/nepremicnine/kocevje-stari-log-hisa-samostojna-prodaja-oglas-9389837,9389837,Delno opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"350,00 m²",F (150 - 210 kWh/m²a),111213-182,house,3,,,Samostojna,"1.188,00 m²"
1829,165.000 €,,,,"120,00 m²",,1956.0,Prodam,"Osrednjeslovenska, Kamnik, Godič",,,,2020.0,Balkon,,Skupna cena,05.05.2022. ob 15:17,do prodaje,1866 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-godic-120.00-m2-oglas-9388214,9388214,Nedokončana gradnja,,,"120,00 m²",Ni možno izdati,,house,3,Visokopritlična,"Zidana hiša (beton, opeka)",Dvojček,"300,00 m²"
1830,229.000 €,,,,,,1988.0,Prodam,"Podravska, Maribor, Tezno",,,,,Terasa,Vrt/dvorišče,Skupna cena,05.05.2022. ob 12:51,do prodaje,1276 -krat,https://www.bolha.com/nepremicnine/vrstna-hisa-teznu-oglas-9387675,9387675,Delno opremljeno,,,"168,30 m²",D (60 - 105 kWh/m²a),GALEA 2022/135,house,,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,"224,00 m²"
1831,115.000 €,,,,"170,00 m²",,1850.0,Prodam,"Obalno-kraška, Komen, Lisjaki",,,,,,,Skupna cena,05.05.2022. ob 09:10,do prodaje,737 -krat,https://www.bolha.com/nepremicnine/hisa-vrstna-hisa-lisjaki-110.000.00-oglas-9386761,9386761,,,,"170,00 m²",G (210+ kWh/m²a),4739-H-2022,house,10+,,,Vrstna,"1.254,00 m²"
1832,36.700 €,,,,,,1750.0,Prodam,"Savinjska, Rogatec, Rogatec",,,,,,Vrt/dvorišče,Skupna cena,05.05.2022. ob 00:13,do prodaje,2010 -krat,https://www.bolha.com/nepremicnine/hisa-z-vrtom-in-pogledom-grad-v-centru-rogatca-oglas-9385903,9385903,,,,,,490281030-44,house,2,Dvonadstropna,,Samostojna,
1833,940.000 €,,,,"249,00 m²",,2000.0,Prodam,"Osrednjeslovenska, Ljubljana Vič Rudnik, Dolgi most",,,,,,,Skupna cena,04.05.2022. ob 10:57,do prodaje,391 -krat,https://www.bolha.com/nepremicnine/ljubljana-vic-dolgi-most-249.00-m2-oglas-9383162,9383162,,,,,C (35 - 60 kWh/m²a),L238,house,,Dvonadstropna,,,"340,00 m²"
1834,473.000 €,,,,,,1981.0,Prodam,"Obalno-kraška, Koper, Koper",,,,,,Vrt/dvorišče,Skupna cena,04.05.2022. ob 00:12,do prodaje,1017 -krat,https://www.bolha.com/nepremicnine/koncna-vrstna-hisa-z-garsonjero-v-pritlicju-oglas-9380727,9380727,,2,,,D (60 - 105 kWh/m²a),490111024-16,house,5,Večnadstropna,,Samostojna,
